"Subgroup_Val_NId","Subgroup_Val","Subgroup_Val_GId","Subgroup_Val_Global"
40,"CP1","6a1e6e3e-3ea4-45ec-9a87-09f92e778f4b",0
41,"CP2","e0500035-fdd7-4ee2-9886-52b72e2dc7cc",0
42,"Arrivée","2856b9e8-e860-4b41-91a7-92ef0c878863",0
43,"Départ","520dd72c-ad29-4853-810a-2e4dfb01cc97",0
44,"Urbain secondaire","80e3d781-4a4c-42d4-bbf7-4dd64899ebad",0
45,"Moroni","09afe682-1337-4521-a73e-2b9e54743c9a",0
46,"Autres Multilatéraux","07be6c78-694d-4745-9add-06bf46cac9ff",0
47,"Bilatéraux","dfb6173f-b6b9-40fc-8670-64e7ebdb7b81",0
48,"ONG","545af44f-58e3-4297-9f59-2571162efad7",0
49,"SNU","f461835a-0683-4594-a6d1-0ec937572911",0
50,"Bitumés","b4002601-42aa-4b49-995f-5b5997482be7",0
51,"En terre","a86595d8-9ce0-418e-8602-410acd5d7a40",0
52,"Privé","01ff4910-aad1-4e6d-afb8-86c06b46586c",0
53,"Public","ad7176a2-b471-46b9-a4e5-25e7901069a1",0
54,"Administration","92df0e1b-4008-4eb4-9156-4da5fc15a947",0
55,"Collèges","68a29f31-0088-4822-b8c3-6cd53f4ff7e4",0
56,"Enseignement élementaire","c012d033-2264-46b2-95d1-6e18fdd73af0",0
57,"Enseignement technique et professionnel","494a1ee8-5f6d-4af6-9413-69665a5518b5",0
58,"IFERE/EESP","045a10bf-7026-4509-ba07-62de2ab9d3c0",0
59,"Inspection/CIPR/DR","591249f1-8eca-41a2-a994-31913eabdbcc",0
60,"ISFR/ENAC","3d6c0abe-f8bc-4f20-b6a2-7eea9d35ac0e",0
61,"Lycée","9c0b74fa-110c-4827-ac3d-17ab4a389036",0
62,"Recherche","33ef30c9-0696-4348-bccd-f15da8cb7449",0
63,"MECK","ac0334b2-fc8e-40d8-b27c-7f111175cad6",0
64,"SANDUK","b257a50e-127d-4a5f-9207-31dc855ea9ed",0
65,"Non résident","3e6c6274-2ec1-426e-a190-4017e1de858f",0
66,"Bachlor","0214e9e6-53a9-4aef-b805-80dfeea625c1",0
67,"CAPEN","9f9b4a5a-4017-4ea8-b565-168f89746a35",0
68,"DEA","1a11d85c-1f4a-4d1b-850e-a904f164c8a9",0
69,"DEPA","92db2eb5-52db-4fdc-b0ab-1900fb578503",0
70,"DESS","a970fd6f-bb34-407e-a3aa-7dfc97da4671",0
71,"Doctorat","cc926a8b-1c4d-457a-85f0-2a5503d791e4",0
72,"Ingénieur","a32d7538-38e9-4f83-8e42-ed77d4c205ac",0
73,"Licences","ac4f3a9f-ce2d-46ea-b590-767ac4182b28",0
74,"Maîtrise","df8a941e-a33a-4489-bcb0-1c9108a5c8f5",0
75,"Masters","f6fbb37e-dfa2-4285-bfd1-53c1ba617dd3",0
76,"Aux Echelle II","2242a5a1-0182-45f5-b47a-7ab49251fc6b",0
77,"BAC/BEPC","80b65854-9479-46ab-a596-5aa85b481c47",0
78,"CAP/CAE","25be64ca-1051-43df-9fb4-738a08cd7599",0
79,"CAP/DIFOSI","5303f9ea-aee3-4d44-8287-c8a5318ed283",0
80,"Insectes","7f37efb8-346b-4415-8bef-0913f2015ef4",0
81,"Mamifères","4bbf2134-c08d-4bdd-bf9d-157b389fdfd1",0
82,"Mollusques","f1c822c0-915e-4f11-bc6e-d0c38147e99b",0
83,"Oiseaux","bf6d5d17-d6e3-4855-bbe6-25070c94fdf9",0
84,"Plantes","f15242c4-4806-4691-9782-d0969bc20000",0
85,"Poissons","f4f16f9b-048e-46c3-8490-4ed6c3d35295",0
86,"Reptiles","1a5a9f1a-c150-4852-a596-1164f30cec4c",0
87,"Droit et sciences économiques","b59510ec-a549-46d8-ac00-4fea7ce168af",0
88,"Ecole de médecine","47a16854-89d9-4a1a-a0f5-138ed28c754a",0
89,"IFERE","0a175f81-1457-4e5a-99b7-8fcfcd1c7699",0
90,"Imamu Shanfii","7f3673ee-73c9-4427-b22c-92b26e19f3ad",0
91,"Institut Univ de technologie","e396cc7a-89f3-4b52-b24f-f11c6560e808",0
92,"Lettres, sciences humaines","bea163af-6088-467e-b4eb-d7dd5af17b19",0
93,"Administratif","fd99dd9b-1a53-4230-b0b1-fc43ec27b30d",0
94,"Infrastructure","5cd8b5ec-da07-4216-81b8-c3bb6aad7bea",0
95,"Social/action sociale/éducation/santé/cuture jeunesse et spo","c74702a5-f15d-485b-881c-cf580e9abed1",0
96,"International","dc33a7c3-ef61-463d-bacb-3f34612564ff",0
97,"National","a756fca5-0881-4688-99bb-68c62a36e1b9",0
98,"Hahaya","86777037-9b24-49f9-b353-8e5a32e5b4e4",0
99,"Total <18 ans","67da46a7-6aa2-4311-a577-e86892e4e80f",0
100,"Biologiste","910e3e05-cab5-498e-8590-f8917ecf276e",0
101,"Cadre Infirmier","f2bef621-9bf3-4c20-aff0-37513808ed8b",0
102,"Cardiologue","5d4c3ca5-ee68-4245-a658-23ce8f3745a7",0
103,"Chururgien","4e89606e-5e3f-4946-b372-b01f97bcbda3",0
104,"Dermatologue","e12166bb-8a76-41ce-8b92-48d797b63965",0
105,"Gynécologue","bd30f865-355c-4f0e-a7ed-b5c35a3e072e",0
106,"Inf Anesthésiste","68def858-b0d3-499b-8beb-8dcf1ea6ca5e",0
107,"Inf santé publique","d8557b5c-d5c4-4f66-9a2f-7fae25e3dfd7",0
108,"Inf.Diplômé d'Etat","79ae6692-557b-4454-a4f9-a8f94326fb94",0
109,"Med anesthesiste","d9d5ac15-52d0-4827-a872-33839bc42137",0
110,"Médecin biologiste","f36fe3a3-bc0e-42c4-9425-54a3f137e84a",0
111,"Médecin Généraliste","fef234d3-50f6-4130-8913-4f3321cc3379",0
112,"Médecin ORL","9dab061f-4746-4f8b-bae7-159a6061d108",0
113,"Médecin radio","18cca749-91d7-482e-80c9-9c2827cc26a8",0
114,"Neurologue","e1882347-9104-470e-8360-3af9757020e4",0
115,"Ophtalmologue","7ca9840b-cc94-47f7-9edf-f19118b31fc3",0
116,"Pédiatre","a4c93ebe-3a46-44a8-ae39-d3b63f315ea4",0
117,"Pharmacien","baed3cfa-74ea-4038-ac93-6c6b65366e97",0
118,"Administration publique","788d69bc-c826-473c-8796-09a6ff0944e5",0
120,"Banques, Assurances, AI et SRE","f07cf862-cd85-40af-a27f-38a2b97e62ea",0
121,"Bâtiments et travaux publics","c92801e3-31e6-4a3a-91eb-62515b5d34c1",0
122,"Commerce, hôtels, restaurants","77be10c7-329a-4bf6-8783-d1a7ab537089",0
123,"Eléctricité, gaz, eau","4595ebf7-48e3-462d-a68e-71d6490e2923",0
124,"industrie manufacturière","6e8af028-8300-410e-9231-73288c5f8a98",0
125,"Transport et télécommunication","bd5a7535-dd9d-4954-9979-684d2a115a3d",0
126,"Borne fontaine","71d84e84-04db-4b01-b0fa-6a1fce31a7b1",0
127,"Pluie/citerne","a88d9092-e9ba-4b9f-b68a-61a33a698f04",0
128,"Puits","7f40c998-51d8-4fea-9ccf-5a307d5b6234",0
129,"Riviere/Source","9b82df95-beb9-4f42-a235-537c1195b5a6",0
130,"Robinet dans la cour/maison","d1269616-252d-48d6-a1cc-0bbc40aa33ef",0
131,"Ferme ou affaire","9a8f21f7-db44-4d4b-8ce5-d41ea8c03184",0
132,"Travail domestique>4heure/jour","cdc09ed3-2539-4815-994a-d73c39bda6c3",0
133,"Travail non rémunéré","a29e2e96-9383-41b3-b88d-27dd011f82f2",0
134,"Travail rémunéré","fb06c82a-688f-4754-974e-3f84af9181d7",0
135,"Travaille courament","151e2ac4-02d2-4925-8c19-1798445eed73",0
136,"Agents de santé","44f07ee1-aff6-4e11-8c25-29d57eb11c33",0
137,"Amis","6bd561f1-e38a-4d83-ad39-2b470296496c",0
138,"Au travail","66baaf39-94c1-4e08-81a0-3bc563fdfd85",0
139,"Journaux","7a5c9fa8-18dd-4c04-9f0b-f816717d8d49",0
140,"Mosquée","67e98f7f-57a8-468b-bb2b-e89f48003bfb",0
141,"Panphlets/affiches","f3c1d2d3-0535-4cb2-a0bc-f735f4d92fec",0
142,"Parents","bda256ed-fd8a-478f-bd1a-fc9d7eecf600",0
143,"Radio","6ebea230-d5fb-42b4-92af-753ee536fe74",0
144,"Réunions communautaires","2aecb9e3-4dd0-416e-bea9-48045df66e8f",0
145,"Candidose","9c9a07f5-7772-4754-8739-4d3094466d41",0
146,"Clamidiae","4aa2536e-2842-41b9-8387-d893fc52b190",0
147,"Gonocoque","8b797089-6123-4e56-9769-93d8cd2f29ea",0
148,"Syphilis","1eb0b987-8abb-4e8d-ae65-09ecc347bcf9",0
149,"Trichomonas","b7202d5c-6a76-421e-83e7-94d3e56a269a",0
150,"Vaginité bactérienne","eb2aef1a-ccbe-44c7-9cf8-1978c9d7a12c",0
151,"Coranique","f2b736db-553d-4f62-bf87-20bb2d0f3400",0
152,"Primaire","4933bea1-0b92-4f3e-9c19-213f397d76a7",0
153,"Professionnel","409a06e6-9f7b-4e82-84fb-98a524a199a3",0
154,"Secondaire","3d2e2e96-324d-4686-a7cc-47d0f75bae79",0
155,"Superieur","ea990f80-8836-4553-9a85-23a1cd90ad1e",0
156,"Sage Femme","0a02b950-cc24-4e5e-a9ec-3f9d9801bb63",0
157,"Générateurs collectifs","1224e6ef-7210-4313-85d5-0b8247c73c38",0
158,"Générateurs individuels","fdefde7a-7426-46fa-9fa5-bf164319d3e0",0
159,"Lampes à pétroles","2dd893f5-43f3-44fa-92bd-2998932b5777",0
160,"MAMWE","b893bd5e-bfdd-4638-b3f9-dc568baec4da",0
161,"Petromax","12286a6a-1828-42a3-bfbc-a1b767fc8cee",0
162,"Aveugle","62313e8a-586b-492e-b752-2f08ce996ca0",0
163,"infirme mental","32ee55f4-4070-40ea-a787-99321b6f6a1e",0
164,"Infirme moteur","97050b2b-6ec6-4441-af5b-5237acc5e920",0
165,"Muet","f5d86138-caeb-4315-8b87-74a08a3f32f8",0
166,"Sourd","bfa99f42-3440-4c44-81a6-2bf1e46ef7e0",0
167,"Fosse optique","a3dd2606-919d-463b-ae53-d8ac37c770c1",0
168,"Lattrine à chasse d'eau ou à seau","5d551198-bfbe-463f-9219-fb46fd2d0e18",0
169,"Lattrines améliorées","6aafb036-0cba-4520-be2d-3e2c58544767",0
170,"Lattrines traditionnelles","79a7e29f-b305-485f-9c3c-3190b7ea7f43",0
171,"Système d'égouts","774fd4f2-9537-4ed7-ad4f-3f16d81e4388",0
172,"Trou ouvert","d37fde8b-d2f1-4131-b9c9-be92df5d1287",0
173,"Connaissent trois moyens","46cf3566-f189-4c37-8f8e-9a581159855b",0
174,"Identifient correctement 3 conception erronées","c2736a03-c15c-4109-ab36-edf090f6bbf8",0
175,"Pluie","b8360379-437f-4680-8b20-c77c8a8e0a7b",0
176,"12 ans +","686ea13d-0494-47ba-bbb2-3b8bbcb5e677",0
177,"Moyenne","18ce408f-3b7b-485a-9add-db3c9c261f4f",0
178,"Autres pays","38d7e422-95ce-497c-9286-158ddc827204",0
179,"Autres pays de l'Afrique","cf9affb8-5e6a-4cc3-adfb-5324bfb84c89",0
180,"France","d514b523-c818-4a0e-b788-54a87fea6803",0
181,"Madagascar","dc4d4a2c-8fdb-4508-9b0c-2268bd77da39",0
182,"Mayotte","68c544b6-8fe4-4fd5-8144-d8deb2514611",0
183,"Total 65+ ans","23043574-9a15-43d0-bba9-1529d003225f",0
184,"Total 65 ans et +","91ab0816-b839-4a11-9442-0933105cb67b",0
185,"Total 15-64 ans","63db5148-6c64-4ce5-8031-3dea25988db2",0
186,"1ère","c82e5716-8486-4397-a63e-55e07e2aa831",0
187,"2nde","f48b07f1-c642-4753-87db-3c28d9820106",0
188,"3ème","625bc570-f412-4d9f-9bc8-c41ac6ad3f3f",0
189,"4ème","b458919f-5061-4c1b-ab67-2be5f5ae9148",0
190,"5ème","b42c4c38-1d6f-4f4c-b6dc-f6220b23c504",0
191,"6ème","1fd35ca5-6ba9-4124-956a-9a31041c6e8b",0
192,"Terminale","c699666b-6506-4552-8868-81b6c7bf647a",0
193,"15 ans +","fc918fde-f14d-40cb-8cc0-edae59a65f20",0
194,"Série A","2c1c845d-65e9-4fd9-b1b9-81f26e7ec1b2",0
195,"Série A1","a0dfdab0-2f77-4fa6-8245-90a991025c20",0
196,"Série C","dfabd51c-c1fc-4d81-8839-816a1f87e0c1",0
197,"Série D","97c31d6f-9574-49b6-8b9a-810a93cffc86",0
198,"Série G","326d1e4f-1509-418f-b9a8-cf85b81f1b64",0
199,"Avril à Hahaya","b9d9d461-f08d-4746-bf32-dd5022f3efe6",0
200,"Décembre à Hahaya","4b720c1c-a094-4451-8015-0c7d32fa0d24",0
201,"Février à Hahaya","b31a94e4-66c6-46cd-832b-7ab2e63b9262",0
202,"Janv./Avril à Hahaya","2139219b-ebe7-4569-b45c-b594f346ae88",0
203,"Janvier à Hahaya","3300ee15-3d6d-4feb-9a5e-91c1903e573f",0
204,"Mars à Hahaya","2f4d0643-a325-4801-90cc-e755a34a136a",0
205,"Débarquée","ca65379f-31d7-435d-9dbb-08c4dcad142e",0
206,"Embarquée","484453f3-0c5b-4a20-a55b-0dbf6202af43",0
207,"Transit","e3c32d66-a817-4c93-8cb0-f99ae4850770",0
208,"Féminin","A4AF6DD2-2467-454F-BC9D-5042DAAD4EA2",1
209,"Féminin 15-24 ans","53C2E3AE-B57E-4A9E-A9DB-81AE1F539E35",1
210,"Masculin","5B840D1E-1143-4C88-9451-17FEA79E2BBD",1
211,"Masculin 15-24 ans","BFC8EF7A-9813-47D4-ABA3-B67E838B3751",1
212,"0-14 ans Total","6C488313-445B-494D-A9E3-14CA715E9F50",1
213,"10-14 ans Total","B28917C7-2A5F-40E8-BED5-1A4834216094",1
214,"15-24 ans Total","C1D3CF76-B6CC-4670-9252-5018B6AB0DB1",1
215,"<5 ans Total","7F01DFB3-3115-49ED-A981-5A1D95A6EA54",1
216,"Féminin 15-49 ans","DCBE9AAF-56F8-4821-B870-3BAF7295CAEF",1
217,"Féminin 15-24 ans Urbain","45743995-2508-464D-877C-8D854B0DDBEB",1
218,"Féminin 15-24 ans Rural","BC696A4A-24D8-425A-B137-82EA19A3B5E1",1
219,"Total 0-17 ans","87BD5B46-9ADF-4104-B8DB-2E6644307942",0
220,"Femme < 20 ans","4b4be1d5-e32d-403d-9509-485f3a83c124",0
221,"Femme 0 an","4b4fc796-b9e1-4b0e-866a-de240d5e3043",0
222,"Femme 0-17 ans","bad355b9-2164-4ec1-8ea7-024e68ba4aaf",0
223,"Femme 10-14 ans","f584cab5-9eb1-4894-b5c0-6c18c9ccfd20",0
224,"Femme 10-64 ans","1e3dd492-145a-4e88-b6f2-d90afe1443cd",0
225,"Femme 12-18 ans","edf114bc-d1cf-4fa4-8456-0bb45cf61758",0
226,"Femme 1-4 ans","89513577-40d8-4132-b6bd-270dba5e867b",0
227,"Femme 15 ans et +","26c15076-5cc5-4ee6-9ad7-2d72be4a3be2",0
228,"Femme 15-17 ans","716694cc-6158-4c24-8c6c-2678a0ce1393",0
229,"Femme 15-19 ans","a7b26577-237c-418d-8481-baaadd952f88",0
230,"Femme 15-24 ans","7418c013-8540-469e-a110-5a1fe98aca92",0
231,"Femme 15-64 ans","aecce7fd-e8b8-4e7f-8f8f-96a56e67ad50",0
232,"Femme 18 ans et +","ccb49068-4a4b-43d9-be25-881e375d1aae",0
233,"Femme 18-19 ans","4ef895e0-a889-4b09-a1ff-58e2ba8c09f4",0
234,"Femme 19-24 ans","5e8af0aa-95a6-46cf-a4c5-3d21bb2a5078",0
235,"Femme 20-24 ans","c57e2ea5-a253-4312-8418-bdfdb054b500",0
236,"Femme 3-5 ans","f95eafb2-9b61-4f35-ab89-61187adfe5e8",0
237,"Femme 60 ans et +","22407588-4f33-4739-ac48-8cb5bd638027",0
238,"Femme 65 ans et +","ba5cf148-32bd-437b-9bd7-53aaae68a206",0
239,"Homme < 20 ans","27b98958-7538-4486-a99e-305fe0fb71da",0
240,"Homme 0 an","96029fbf-06ff-4971-b1a7-f7288dbf032f",0
241,"Homme 0-17 ans","f160a8bb-8ca7-4bd1-89d5-3c897074a4a1",0
242,"Homme 10-14 ans","e51da893-874b-4010-b7ca-ae053c708b84",0
243,"Homme 10-64 ans","184888d1-a477-401b-a990-dd2c394660af",0
244,"Homme 12-18 ans","2f37a87c-b789-4a0d-b7e2-26de663896e8",0
245,"Homme 1-4 ans","6177ab78-352a-4aeb-a7b5-9e64a60c66a2",0
246,"Homme 15 ans et +","6a8b81ed-a0fa-4e41-9028-cb7be3ac8a12",0
247,"Homme 15-17 ans","ebee25ff-db9f-4861-a111-2a6ec693bbec",0
248,"Homme 15-19 ans","daee9739-af9c-490f-ac73-f6a8bbd53f77",0
249,"Homme 15-24 ans","ac9ff79d-0698-4510-9dd2-f026324cb280",0
250,"Homme 15-49 ans","3f29dc2a-bd14-4744-9faa-cef5554aceea",0
251,"Homme 15-64 ans","958a255e-8f4f-43c0-a289-5c5bfea224b7",0
252,"Homme 18 ans et +","89c2d3b1-3979-4585-80eb-638a30eadd03",0
253,"Homme 18-19 ans","ac3012d5-a139-48b9-99a7-2d8206a1fc87",0
254,"Homme 19-24 ans","3e1d06a7-d207-4462-881a-481f5b0a94e6",0
255,"Homme 20-24 ans","58defce0-8602-4f9a-ac53-8987a7eaa07a",0
256,"Homme 3-5 ans","875c1a84-8269-41be-bbe8-a34e97f3f6bc",0
257,"Homme 60 ans et +","34555cee-9758-468b-ab75-b05dffa268ef",0
258,"Homme 65 ans et +","37aa6fbf-3d60-4c11-a8d6-9273bea258b3",0
259,"Total 0 an","eaa43e3e-137f-4b4d-9bbc-7dbd3d73f1bd",0
260,"Total 10-64 ans","24f93328-637f-4c1b-b1b0-609313c9527f",0
261,"Total 12-18 ans","2f51d24f-25e1-4c2a-b00a-53b755ded300",0
262,"Total 1-4 ans","c0aa947b-96d9-463a-a5ed-d5711f52084e",0
263,"Total 15 ans et +","d2ef66dc-0412-4167-a753-7e6f83159197",0
264,"Total 15-17 ans","dea2347e-ce20-46ea-a960-74d1034d465a",0
265,"Total 15-19 ans","282d51c9-ba58-4d63-a53c-9de816d81eea",0
266,"Total 15-49 ans","0b0fce3c-faf9-4480-b201-12ff62141a68",0
267,"Total 18 ans et +","8b34ef4f-dfee-4bcb-95a9-96427caa2ddd",0
268,"Total 18-19 ans","6ccdc3f8-68fb-480d-b43d-4f80ea32aee8",0
269,"Total 19-24 ans","9e1f867c-c54f-4d74-b4ca-e9adf3fcf07d",0
270,"Total 20-24 ans","edb304d8-004b-49e0-8395-cae63d69e526",0
271,"Total 3-5 ans","a8cff062-29c9-4592-9c0f-3da46ebcd2e5",0
272,"Total 60 ans et +","e7c09beb-d4e0-4474-ad1d-26290273c3ca",0
273,"Point de décision atteint","0135F34A-2511-4667-B383-53147071A970",1
274,"Point d'achèvement atteint","7A2EE04C-615D-4595-937C-6710FFE1762B",1
275,"À considérer","D702AB7E-F057-4F5B-B061-DC5C6D3C8A43",1
276,"15-49 ans Rural","E99AEBB4-4314-4A8C-9533-ED6F845A34B7",0
277,"15-49 ans Urbain","E6EC05C2-16FE-400C-B273-9C59C2959854",0
278,"Féminin 5-14 ans","F6E80D54-D9F2-4BC0-B181-35A7F14B7275",0
279,"Masculin 5-14 ans","6E6C596D-BCDA-4C57-9DF2-5A793F89E7D0",0
280,"5-14 ans Rural","5A141D6F-3583-4CC7-8510-D2491AC40CA3",0
281,"5-14 ans Total","90347914-AEBF-4575-9A5D-1E54F9CB356D",0
282,"5-14 ans Urbain","4E5BCC22-6FB1-49B0-8CD6-6339A2EFB0E1",0
283,"Femme Cadre Infirmier","47730241-86a7-41dd-9b49-1335f2aceb95",0
284,"Femme Cardiologue","376d8ed6-8565-42dd-aa12-adceb3b161d7",0
285,"Femme Chururgien","d512d899-d635-4a6c-980e-a80d1e11a0dc",0
286,"Femme Dermatologue","0922fa04-0a20-417b-8211-7a5e1b56a023",0
287,"Femme Gynécologue","06be449c-ff24-42c9-b16b-58672748303d",0
288,"Femme Inf Anesthésiste","e621e0e2-c30e-4360-864e-afdcc72fb1f9",0
289,"Femme Inf santé publique","3a68ea9a-651a-426f-95d4-c5d8dc29e6cf",0
290,"Femme Inf.Diplômé d'Etat","61558852-f3f2-44ca-b460-a612b31b6640",0
291,"Femme Med anesthesiste","1e4b63a0-9f5a-4dba-aaf9-454927c29536",0
292,"Femme Médecin biologiste","a24448fc-bd2d-4d26-a2f2-8e5f5f78009c",0
293,"Femme Médecin Généraliste","efc117d7-5148-410c-b8cb-c96848438858",0
294,"Femme Médecin ORL","6a9f4798-b1d8-4d38-b532-5fee9dfb2c6d",0
295,"Femme Médecin radio","b24addf4-ba38-4a84-9c75-563161d77491",0
296,"Femme Neurologue","31e331d4-b44c-4ba8-aa0e-5a9a7cdfaa70",0
297,"Femme Ophtalmologue","eda0824b-bcd4-4cef-a19a-6b811e3c18f1",0
298,"Femme Pharmacien","2f2ceb70-44df-4818-a97c-d74dbc3fa723",0
299,"Homme Cadre Infirmier","02435c77-f096-42a5-832e-bd8fb18ff73f",0
300,"Homme Cardiologue","a7c06ff5-8dde-4bed-acc8-1c357404010f",0
301,"Homme Chururgien","59817ee9-4ac2-47cb-9b61-ec4b5b7d52ab",0
302,"Homme Dermatologue","e8054bcf-355e-4891-9606-1b5fb7077f54",0
303,"Homme Gynécologue","6e086276-36b8-4be5-8fb8-6ec5134c6b1b",0
304,"Homme Inf Anesthésiste","c5af29fb-08b9-432a-9017-5d53c94b03e4",0
305,"Homme Inf santé publique","f0729938-6f65-481e-b541-facafda52a1d",0
306,"Homme Inf.Diplômé d'Etat","ee0c775a-3a38-45e5-87bc-a8a6252370f9",0
307,"Homme Med anesthesiste","4a1156c6-d683-4d3e-adce-c026eb98a5ab",0
308,"Homme Médecin biologiste","b7651de5-11c2-488a-b528-65712848b3dc",0
309,"Homme Médecin Généraliste","08d00fa1-2ef9-45cb-ad49-015631d26132",0
310,"Homme Médecin ORL","023f3799-b43f-454e-8ebf-12c24689a175",0
311,"Homme Médecin radio","983f540e-0d94-49f8-8db4-9a59fa44a13d",0
312,"Homme Neurologue","efba0cda-196e-40cf-8595-8bc641af0e86",0
313,"Homme Ophtalmologue","8b5a7bfe-202f-44e9-b8f2-78d867db8874",0
314,"Homme Pharmacien","70a0072d-756e-4819-affa-30a01d830d46",0
315,"Femme Agents de santé","d6552827-d1cc-45f2-9a95-83a9607b6346",0
316,"Femme Biologiste","5fb807cb-1cf6-4e21-86e3-ce16cb83a21a",0
317,"Homme Agents de santé","ca45d25c-56aa-4d18-8976-91419c8b2eae",0
318,"Homme Biologiste","e6f0615d-9dfa-43c9-8b14-b2c8b58eed7a",0
319,"Femme Dentiste","a04fef2c-9ace-4834-9e9f-82a5e5147e65",0
320,"Homme Dentiste","891fbb84-16e2-480d-9ccd-e4ef26aed502",0
321,"Dentiste","00425c82-ee24-47b3-bbc0-85af08505d12",0
322,"Femme Droit et sciences économiques","7e1f2980-fb5b-4c95-b2b1-f211f94632d9",0
323,"Femme Ecole de médecine","62d744e9-16aa-40dc-9530-4ef517cb1466",0
324,"Femme IFERE","b258407d-829a-41da-8e2f-c5b9eddd1f64",0
325,"Femme Imamu Shanfii","e3e760be-f081-4706-8708-b27517f97bcf",0
326,"Femme Institut Univ de technologie","022ba103-5840-4d57-b4ad-c14487c10326",0
327,"Femme Lettres, sciences humaines","b7d9dcb1-81d8-42c3-bc5d-466f7893aeb1",0
328,"Homme Droit et sciences économiques","5bdefaae-a715-4f1e-b91a-712184660408",0
329,"Homme Ecole de médecine","a39ef61e-752a-4b8a-ac00-7614e9d01002",0
330,"Homme IFERE","35387cf0-9cd9-4c52-aab0-4a847b41bde2",0
331,"Homme Imamu Shanfii","6713dd05-a3fd-41f4-8977-3011779198b0",0
332,"Homme Institut Univ de technologie","4e75e19e-0b65-4dc1-979c-1e8fe4a5d951",0
333,"Homme Lettres, sciences humaines","600442ce-81e2-4157-a27a-004d5bfcc1bf",0
334,"Scences et techniques","6ecfe4c0-8e10-4188-922c-579e46a160a9",0
335,"Fille","79a56670-43f4-47a0-b808-f48a70cc5646",0
336,"Garçon","9a258dae-ad16-4fcf-86cf-f3f9dff91c8f",0
337,"Au large","f08496c6-5a4b-47c3-bd93-c2f03e5b39e3",0
338,"Côtier","19bbb303-1b9c-4b75-bd05-820117c4c36b",0
339,"BDC","f5fd943b-515f-4d22-8dbd-6fdf0f8594dd",0
340,"BIC","a63110f1-f3d5-41f1-8056-912eed0504ad",0
341,"Export","2c4ed3a9-b292-4de6-b244-340fbce1e2e5",0
