"Subgroup_NId","Subgroup_Name","Subgroup_GId","Subgroup_Global","Subgroup_Type"
229,"15-17 ans","1d60cbd4-c450-4803-802d-0c2cf7c5e2aa",0,4
230,"18-19 ans","d9939692-bbd5-48c3-926d-d7898951ec3a",0,4
231,"15-24 ans","5462415A-6ED2-4663-9721-E698966F8AFD",1,3
232,"3-5 ans","406d7ecb-b654-427e-9069-4fe17c2e4803",0,4
233,"12-18 ans","b076bd5e-9815-43b1-967f-1f90fbf53d46",0,4
234,"19-24 ans","ac10bc98-c6e1-4c0f-85ec-cce6e9cca1ad",0,4
235,"15 ans et +","356da125-98b7-4e6c-8cdb-c1cf7373a420",0,4
236,"0-17 ans","bf3b319f-3c7a-45b9-acc7-ffa1f689c131",0,4
237,"18 ans et +","8df07c60-2d05-4e13-8b83-402341a61dbe",0,4
238,"15-49 ans","E9F3CBCE-7843-44E9-8640-56AB74C0954D",1,3
239,"10-64 ans","0507a7cd-3e1c-44d3-8c94-207f017b4a2d",0,4
240,"60 ans et +","a205e535-f9a9-417d-abf2-d83a5c351379",0,4
241,"Dentiste","50f65bd5-3e18-4069-84c1-c40d0a17fbf1",0,4
242,"Fille","caf8d2c3-8ff9-4c16-84ab-91f1b09facbc",0,1
243,"Garçon","95ed72d3-6c35-43d7-837f-cb446550d8f1",0,1
244,"Au large","ec0be8c0-9487-4e0a-8ab3-8a18e72c511e",0,4
245,"Côtier","e0ba25ca-a395-4c51-97bb-5d916601c599",0,4
246,"Total","31d99825-bf8b-4467-8485-6fa5209dc49c",0,4
247,"BDC","26265276-ef17-4571-b969-895ef32497e5",0,4
248,"BIC","341e146d-3da4-4b68-951b-310c3bb0d241",0,4
249,"Import","87a4aebb-d0d0-41cc-b92e-32bf84e20650",0,4
250,"Export","e54a4dbb-72de-4ac8-a999-8cd97e9d23b2",0,4
251,"Moins de 15 ans","4d39995c-d093-46ce-b026-c03b77b74719",0,4
252,"Culture générale","11aa8f80-69a5-4205-88bb-f97ef8fc8bc9",0,4
253,"Autre","fe17ff00-7274-4abe-ae8d-c5d0b13fbf38",0,4
254,"CAE","cfaef1e0-9763-4f2d-a1c2-6b53210a5762",0,4
255,"Doctorat / DEA","d1424fad-c240-437d-bb31-82c07a591251",0,4
256,"DEUG","1f248bf5-8651-4b48-a288-375893f68a33",0,4
257,"Droit","6304b9f4-5d4b-4209-adce-70699cd6394d",0,4
258,"Sce.Economiques","e5ee453e-bb2f-4474-ac5a-012532fe686d",0,4
259,"AES","e6f9ae40-bd15-47a1-a690-709c0407e0ba",0,4
260,"GEA","fecece7a-17d3-48f4-9cb1-0a6c2459d9d9",0,4
261,"G. Informatique","29e0dc14-6cb3-42aa-a1fe-5a42db0fc7f5",0,4
262,"Tourisme et Hotelerie","aedf3b5b-823b-4f5f-a0dc-4a8d528291a1",0,4
263,"Commerce","fea97181-f531-4e0c-a82c-960b55f1c5e6",0,4
264,"Histoire","131f2f8f-734d-49c8-9759-42bc0408581f",0,4
265,"LEA","0bdddc0b-2bf5-405b-9155-8647d97a7202",0,4
266,"Lettres Modernes Françaises","3f947b38-205f-4461-b9bd-b893c1df095a",0,4
267,"Géographie","50f05abe-2d1b-42a9-8d22-feb9c84e12dc",0,4
268,"S. Islamiques","d2035643-71b7-4377-a33c-fc79abf84e7a",0,4
269,"Lettres Arabes","1ce9a318-6bcb-4efc-a9c2-46db77b7cef1",0,4
270,"STE","7e77bfe7-42a7-486f-9cd8-bd71fd57d18f",0,4
271,"SV","53676860-295a-40b8-8631-196a4d7e05c9",0,4
272,"Math-Phys-Chimie","236e7b28-8357-4c3c-9bc6-cabde11b9cbc",0,4
273,"Soins Infirmiers","8f2a2a87-b19b-462e-a8ee-5e74cf543877",0,4
274,"Tronc Commun","d1698100-3df0-4aa8-91a2-04347651062f",0,4
275,"ENTP","05c25ad1-2096-498d-9b48-155edbf14848",0,4
276,"EESP","f451a14f-64a2-4e95-997a-5909894c47ac",0,4
277,"ENAC","29bb608b-f32e-4656-a2d4-b4e81627edd4",0,4
278,"CNAED","446e2838-568c-458a-946a-9003f7bc8596",0,4
279,"ISFR","dcd1abbf-2110-4d54-a27e-ba12ee983958",0,4
280,"Productif","2218b800-6373-4cf0-9d5e-79fb7dc38795",0,4
281,"Ouani","b4979117-513f-4c7e-975b-f6d7711f225b",0,4
282,"Bandarsalama","ad202f69-a1e9-4b60-ac47-961f7e8abe38",0,4
283,"Mutsamudu","6bbd8ebd-13b3-4f6c-9761-2d2f99ac059e",0,4
284,"Mboigoma","854d561a-428d-4bd4-9b5b-1394e2f78bef",0,4
285,"Moroni","5654bea8-877c-47c0-b46b-9d50eb896e32",0,4
286,"Bambao","8172240c-e004-46d6-93dd-71d96e78f3a6",0,4
287,"Foumbouni","d18abddb-3f5c-4bc6-bc3f-5a204831d3b8",0,4
288,"Hamahamet","45b7d649-ff3f-4233-bb41-2321cb664fbe",0,4
289,"Hambou","0e1334fc-7646-4974-b4c2-b78a17ecccc8",0,4
290,"Itsandra","dfa2c4b5-a862-453e-bb03-b95f9202c5b8",0,4
291,"Mboudé","3829ec5f-8370-469a-b0dc-24c7cab4608d",0,4
292,"Mitsamiouli","1d6d2689-c4d2-4ffe-924d-05e174f8a988",0,4
293,"Ouzioini","101ed2eb-e527-435c-b763-abdd6a44c4e5",0,4
294,"Oichili-Dimani","32c18df5-db77-4434-9eaa-008559fce59d",0,4
296,"Djando-Mlédjélé","ec6fde60-5231-48f1-9bfb-2d20693fc928",0,4
297,"Domoni","173e79de-dac4-4089-878e-be771ac65387",0,4
298,"Nyoumakélé","5b47190e-3a3e-4971-a20b-8205ff4b0e70",0,4
299,"Sima","76dcddf7-cb70-46a7-adbc-254edd123757",0,4
301,"Dewa-Mwambao","bb09524a-3251-4270-ae69-e9e60653ba42",0,4
302,"80 et +","a6bbb83b-3738-4cd3-b8a9-fe043a3261ef",0,4
303,"80 ans et +","90afe6fe-2df0-4c3f-8e1d-8e18969a6543",0,4
304,"0-4 ans","f75fc7f4-cf7b-4aca-ad45-af1677f27ed0",0,4
1,"Féminin","9DC4BB56-CD7D-4F5B-8901-571230F06AD4",1,1
2,"Masculin","D3D49222-62E2-4BB6-B350-6852D992A1D0",1,1
3,"Rural","B094B64D-6D40-4304-901E-8D4C358EBDE3",1,2
4,"Total","{D9B383F3-E245-454D-9AA8-04932E7D3CEB}",1,2
5,"Urbain","25C6CEC6-C5A1-444F-A5E8-9A9E98206A85",1,2
6,"<18 ans","21A1F5B2-9117-4745-83D9-6D00F8629561",1,3
7,"<5 ans","A7CAE40C-D0C0-436B-B8D4-9828E80D8506",1,3
8,"0-14 ans","88AB78C1-2DF7-4A50-B3F4-5E287CDEBAE3",1,3
9,"0-15 ans","50E18B81-A7A0-4020-86C2-0543650A3633",1,3
10,"0-49 ans","E0DD43D5-EBCC-4375-9F15-6680C1E33FC0",1,3
11,"0-6 mois","2E20A4B5-A372-456C-BCEF-2ED99835A91C",1,3
12,"1 an","D14C7E80-409B-4C62-AC51-73E8D6D02280",1,3
13,"10-14 ans","3CA34DD3-FAC2-4B63-BE88-8B5ACDC7DC7A",1,3
14,"15+ ans","C894B686-85CD-4485-A9C8-DCAB3C3BF1B6",1,3
15,"15-19 ans","EF15E622-FBEA-471A-AD7E-52E340ED95BA",1,3
16,"15-24 ans","37EC61BF-3493-4CFC-848A-CCD1E43A0B4F",1,3
18,"16-65 ans","15B6CABD-7299-4218-B623-AD469DDFF330",1,3
19,"20-23 mois","29C96BE4-1DBB-4826-8BDE-43BAEC69EF72",1,3
20,"5-14 ans","481AD9E7-7C26-409B-A2B3-C65D7065405F",1,3
21,"65+ ans","1961DA48-B010-4A3B-AA36-810ACB94F67D",1,3
22,"6-59 mois","1AADE9C7-DF0E-44B6-B41A-164E599A3150",1,3
23,"6-9 mois","8BA22E34-1CE1-4D6C-B026-B4C3BFA9E0D9",1,3
24,"À considérer","4A45E641-C531-409E-94FB-BABA2A2494AB",1,4
25,"Point d'achèvement atteint","57AE5DDE-7B48-4FFF-9AA6-DF8F22C83BC7",1,4
26,"Point de décision atteint","326858E4-149D-4071-8FF9-6E04BF0D4D44",1,4
27,"18+ ans","e8d423a4-e282-41c7-a40d-18dea02bb003",0,4
28,"6-14 ans","77137442-616f-4a3f-9bba-fcfc22f5a589",0,4
29,"< 20 ans","a308265a-25a4-44a1-9939-5a93a53104ac",0,4
30,"60+ ans","3980619f-ad2d-4263-a6cd-57ffe4be3236",0,4
31,"6-11 ans","c03bb963-25af-45b0-83fd-f24cba506e3c",0,4
32,"Homme","3a14e35f-d9fc-4dd4-8ac6-3399bf6d9f61",0,1
33,"Femme","c63122ed-ae9f-471a-8401-c5d3730cea8e",0,1
34,"Moroni","7dcbb7dd-7221-4f2f-acc2-fc899620ba29",0,2
35,"15-59 ans","7d4b2c64-55d3-4266-9ca1-5b478c44005c",0,4
36,"CP1","8a28fd5b-71c5-44f0-b716-7d2994527f17",0,4
37,"CP2","03fa3d63-5042-432b-b85e-9c16d1d955b0",0,4
38,"CE1","17cfca8a-c1c1-49d0-be76-283c81cd9fed",0,4
39,"CE2","0a7aec1f-ba85-476a-8179-7dc8f6f3bf71",0,4
40,"CM1","0c78c431-08d2-4650-9d74-fa748ae6c1e6",0,4
41,"CM2","ac65cbaa-0425-4980-8573-c881c5415c7e",0,4
42,"Arrivée","15d4d94e-63e5-4b77-ae5d-82c65dba45cc",0,4
43,"Départ","49eeb911-c9d7-4cb2-963c-f0aadfbaacf9",0,4
44,"Urbain secondaire","01ee1586-ab88-4763-a111-e64910615b57",0,2
45,"SNU","b6c25bce-95a8-4a8e-9c41-a3cce8b02915",0,4
46,"Autres Multilatéraux","35cb7600-db5c-42c3-9897-fee53276933a",0,4
47,"Bilatéraux","800391de-8841-4ab3-b7ee-c8ce4675223f",0,4
48,"ONG","af503464-abbb-4e50-86a0-1e57ead5fff3",0,4
49,"En terre","21306362-0219-4538-9a39-78ea8d3a1858",0,4
50,"Bitumés","b8171267-bafd-419b-97a1-0057ebd5e23b",0,4
51,"Public","aa95f536-71df-4608-aff6-0d2efa90151a",0,4
52,"Privé","3efa6844-43e8-41c7-bb15-57310a98dfea",0,4
53,"Enseignement élementaire","bb849c73-55aa-4367-97f8-ed667557b6b4",0,4
54,"Collèges","e5e5e2f6-d9dd-4c38-b0bd-353fd56a923a",0,4
55,"Enseignement technique et professionnel","21e07f40-861f-4a6b-980c-78fa9ac833cc",0,4
56,"IFERE/EESP","3403233d-50b1-4c81-8de3-845e42483862",0,4
57,"ISFR/ENAC","e9322d25-1c3c-49e1-aef9-d26426e3322a",0,4
58,"Inspection/CIPR/DR","12b30833-be4e-43cf-8348-03aa687da90c",0,4
59,"Administration","1925919d-9b4f-41ee-9632-82cb014516ef",0,4
60,"Recherche","32c833ba-5d62-42a3-a7c2-934133ad1225",0,4
61,"Lycée","61017512-aa7c-4184-9312-50f3fbc6293f",0,4
62,"MECK","032a0339-d2f1-4c12-b983-2c4a6e102628",0,4
63,"SANDUK","89750089-7eff-40b4-ab12-e00044f6a7b1",0,4
64,"Non résident","06e11b58-ffbe-424d-9fb5-da2bc6111215",0,4
65,"DESS","5b006397-664c-4605-88fb-3be2b71407ca",0,4
66,"DEPA","33e9a99b-3a19-487c-9240-9cfab41cd21a",0,4
67,"DEA","0f055d4a-97fc-4109-84ea-72a8bfcc0de7",0,4
68,"Ingénieur","d0e01147-1258-462c-8fe0-73ac8628966f",0,4
69,"Licences","0e108d60-f208-48d5-9d92-54c49fe9f71a",0,4
70,"Maîtrise","440b6c6e-9adc-4bce-8559-4ced9983672b",0,4
71,"CAPEN","e42f3a4d-4fee-4864-a53a-69e2e485a690",0,4
72,"Masters","2e1a161d-3b88-4d60-ad63-d3c2f9785d34",0,4
73,"Bachlor","406b45f5-b19b-47eb-8806-74cd0f90f375",0,4
74,"IDEA","934b1352-3f51-4fca-a91e-59d452ecbbd1",0,4
75,"Doctorat","83daf6a2-4aa7-4013-a40c-78603524a4ea",0,4
76,"Aux Echelle II","13fd62c3-192d-4241-bf7b-073424cea1f8",0,4
77,"BAC/BEPC","11c7e918-1ec6-44eb-9ef9-a512621dcff0",0,4
78,"CAP/DIFOSI","d95183cd-53de-4924-a62f-9381af06dbd9",0,4
79,"CAP/CAE","0fed4c0e-af1c-4a92-8d0b-02d37917b532",0,4
80,"Oiseaux","b8c2906e-6eb4-479d-9019-be158a3a15b5",0,4
81,"Reptiles","2fdeb28d-fa32-4033-adc2-5aa6107ff58c",0,4
82,"Poissons","a01f58a9-2c7c-4b71-a5a3-a5d1395bb62f",0,4
83,"Insectes","e34ec22d-9787-440b-8e60-6e0ec12c9933",0,4
84,"Mollusques","817befcd-f257-425f-ad40-756bffedb214",0,4
85,"Plantes","2555f87f-0c2a-4bd9-b469-6b28cc5a2238",0,4
86,"Mamifères","3fdb305b-3b80-46be-b7f5-28fcaa4a1902",0,4
87,"Lettres, sciences humaines","ce92adec-3cca-42e2-95d6-b5dd1d93dcda",0,4
88,"Droit et sciences économiques","5ebca769-9f5e-49d4-b1bd-6f14b9b739a2",0,4
89,"Institut Univ de technologie","edf750ea-5119-4dda-b0d4-f896899ed647",0,4
90,"IFERE","0b639dbc-17a2-48b3-9406-98ceaff24fee",0,4
91,"Scences et techniques","7af11021-6669-4640-a35c-3deb6374a709",0,4
92,"Ecole de médecine","5b4ed216-b6f8-4e56-9701-cd63c33d2c5c",0,4
93,"Imamu Shanfii","3b92beec-40ce-4692-8b86-89f51bf37ebb",0,4
115,"Inf Anesthésiste","39e75bd0-ded2-4db8-b6d4-dd3ff971d1d5",0,4
116,"Inf santé publique","6fafc66a-ab2e-4f62-87d3-ef008fb006f2",0,4
117,"Inf.Diplômé d'Etat","da7db2e4-dfac-4ae8-917b-2a30af000766",0,4
118,"Dermatologue","037c6de3-fbd7-4a85-8d18-b22a277aeb9d",0,4
119,"Agriculture, élevage, pêche, sylviculture","e4d28d34-a62b-4093-b4aa-9c30d90d4113",0,4
120,"Banques, Assurances, AI et SRE","6d988eca-d7a5-46a6-b010-239131fbac8f",0,4
121,"Administration publique","3a4796fa-548d-414d-a341-dec1b209696c",0,4
122,"Transport et télécommunication","3dd3e914-e3a5-41ee-a8f7-267caf57d273",0,4
123,"Bâtiments et travaux publics","42aae538-e056-4974-b3d8-bf16dc55d53d",0,4
124,"industrie manufacturière","b6d76adc-28b0-4e33-8f36-4f0d5243f11c",0,4
125,"Commerce, hôtels, restaurants","7b2fa63a-f7fe-47a9-bb2d-9a8d7878dd29",0,4
126,"Eléctricité, gaz, eau","a72560bd-dede-468c-a048-9eed2ac400b0",0,4
127,"Robinet dans la cour/maison","fcab2684-fcbb-402c-badc-e9b8c1f4dd3e",0,4
128,"Borne fontaine","36e698e3-6ca1-460a-b972-4796111505de",0,4
129,"Pluie/citerne","9a79d74b-62ee-453f-8de3-4e25f27e2824",0,4
130,"Puits","8d3cd883-94c8-417b-91dd-de0b078d97eb",0,4
131,"Riviere/Source","a2ce07c1-9634-4c6d-82d3-b0cb0793e705",0,4
132,"Ferme ou affaire","6c95c6d0-d605-4ce4-aadd-47109077f382",0,4
133,"Travail rémunéré","01fd4cff-12d9-4a63-9686-328c92175bb8",0,4
134,"Travail non rémunéré","b7ee1eb5-eac5-4fd7-bab7-dabde124c068",0,4
135,"Travail domestique>4heure/jour","bb801a79-c293-4661-a5aa-92edcd542f4b",0,4
136,"Travaille courament","b2180ff6-a6f0-4d1b-a967-eaab638ea215",0,4
137,"Radio","79dbeef0-5f60-48af-96b0-60a115fb3060",0,4
138,"Au travail","9a9ce92c-c31a-4732-a725-1af8faa265c6",0,4
139,"Parents","75cd8a07-ef3d-44ad-b53e-75c51fc0e97d",0,4
140,"Amis","96bb2fa9-9e81-46bd-8e3e-86686a6a32e3",0,4
141,"Réunions communautaires","341d4147-6405-495b-b9c7-c9024cf43586",0,4
142,"Mosquée","02a4075e-5be5-4a92-9a60-7c21543c0258",0,4
143,"Agents de santé","011399f0-fb78-4ce3-9f3d-7e53c583fb21",0,4
144,"Panphlets/affiches","6b0fc287-d609-4adc-b1e2-9140985c637c",0,4
145,"Journaux","0706a9b0-e154-40c9-8bbb-9805f2afe17b",0,4
146,"Clamidiae","1cac5923-637c-4cf4-a0cd-94a798ea5f5e",0,4
147,"Candidose","4af27b23-e55a-4508-a2d9-63fc5ead2786",0,4
148,"Vaginité bactérienne","76faceed-04ee-476a-8487-94058b8240b9",0,4
149,"Trichomonas","05494423-5243-46fb-94e5-cf1c475ea26a",0,4
150,"Syphilis","0c8cab66-7496-4a3c-ae0b-d7e326c506c0",0,4
151,"Gonocoque","55d0daae-06df-4350-af5b-68384e3bca28",0,4
152,"Coranique","44970e43-de67-4210-b759-e43acb1b5add",0,4
153,"Primaire","3c48764c-9502-47d1-ba5c-0b68ce874cc8",0,4
154,"Secondaire","563edb0d-0acd-4975-ab7e-ccaf8f0202ec",0,4
155,"Professionnel","fab8f2a4-8d09-476a-a435-ae8d929062cb",0,4
156,"Superieur","0e1fd0bd-2859-4766-997e-0d33d8f64cec",0,4
157,"Sans niveau d instruction","dff44bcb-7fa6-43df-aa84-95556796d189",0,4
158,"MAMWE","aa3025b7-ac8e-44b5-b4d2-9525a16ac974",0,4
159,"Générateurs collectifs","22672349-9d34-4609-8bc5-0aaf560dd16a",0,4
160,"Générateurs individuels","5a13f437-3fdd-4c7c-9e6d-6b04adbea720",0,4
161,"Petromax","d7d19274-f0e8-4bbc-a7bd-41a80ad69d75",0,4
162,"Lampes à pétroles","ca6ff189-2bd3-46eb-ae1a-aa893c728b35",0,4
163,"Sourd","cdb53c8b-b241-4a6a-bf4e-715e7409f285",0,4
164,"infirme mental","7ef381a0-782b-49ee-b96e-d5332217d58d",0,4
165,"Infirme moteur","e858db70-f883-4e71-9f33-5bd7215e9af8",0,4
166,"Muet","9e85aae6-c252-4d17-bc2a-fe09e6bcc577",0,4
167,"Aveugle","9bc36fe8-ecdb-4957-b439-7824a75987f6",0,4
94,"Social/action sociale/éducation/santé/cuture jeunesse et spo","1552d772-0d2d-453f-bf10-237b3d81254e",0,4
95,"Infrastructure","a0e33881-0cf4-4b01-a363-cd2d0674685a",0,4
96,"Administratif","5de16f9f-3c83-41ee-bb2a-8935bc8f4f7a",0,4
97,"International","47daef8b-db64-467b-a12e-106b224bef94",0,4
98,"National","68848f2f-e2b9-4f39-8f1f-945195a8cd07",0,4
99,"Hahaya","0a6ce65d-44c1-4dbf-8c68-bcefdf4e8c05",0,4
100,"Chururgien","1b996fe7-f62d-4211-b4d1-3da10c8c402b",0,4
101,"Gynécologue","f51d004a-7cd6-4582-bea8-59c5cd6f2e35",0,4
102,"Med anesthesiste","b21fd6d5-ac50-4c54-9f91-47daaf06b34b",0,4
103,"Médecin biologiste","5038f8c4-c0ed-4b26-8200-a90f8cbbcc44",0,4
104,"Médecin Généraliste","ba27817b-52c0-49bd-87f6-38e847843b1f",0,4
105,"Médecin ORL","00b5b321-a04c-4f8b-9d95-407e81a617fb",0,4
106,"Médecin radio","7a1298c2-fc98-4587-9c90-88061570090f",0,4
107,"Biologiste","4d6b384b-fec0-4346-a6ac-a343ad0c64dc",0,4
108,"Cadre Infirmier","85bca2ff-eeba-403d-95fa-788f40573fff",0,4
109,"Cardiologue","aa9ae792-5b7c-4b3f-b2b0-e84f2eedeb4e",0,4
110,"Neurologue","2c9ad730-6635-4133-91e3-b25dd2b4f5ef",0,4
111,"Ophtalmologue","bc2cd676-48d5-4c89-9380-4314043cfab7",0,4
112,"Pédiatre","c0d04522-7332-478b-9cf3-6af3f7b0a038",0,4
113,"Pharmacien","7e5ecbd7-212a-4441-9e79-d11b9e2e07c0",0,4
114,"Sage Femme","353bdf5a-826b-4a39-9f7b-c291922771a3",0,4
305,"Autres villes Urbain","b35051df-a24d-46bb-b541-4737cfab2af4",0,2
306,"40-41","13208f46-3e4f-424a-9409-96c9d5a7ed99",0,3
307,"42-43","3dc8d30a-0ec1-4e73-bcb7-9e65eeaf2e1d",0,3
308,"44-45","c9c62492-873c-424a-8547-cc4e655fdf86",0,3
309,"46-47","922ee7fc-747c-46f5-896a-74eea8ef4640",0,3
310,"48-49","8b5a2f96-fae1-4284-9cd4-c12839b2e23f",0,3
311,"40-41 ans","895017ad-fab3-4465-a4eb-ea879397c5f1",0,3
312,"42-43 ans","53597f39-7419-4331-b1f2-00999b6ad7af",0,3
313,"44-45 ans","fa2389dc-3d9d-4d44-bb86-fc0cac06cb08",0,3
314,"46-47 ans","e7272331-ee4d-4cb9-ae03-ca381be05cae",0,3
315,"48-49 ans","d5b32bb6-8da7-4090-9484-127e38dc80d5",0,3
316,"N'importe quelle méthode","016e3dd0-0b77-40d0-981f-f278ae5e6051",0,4
317,"Une méthode moderne","e8a2ab6a-f4f0-4855-9c24-bca1811e2ab7",0,4
318,"Stérilisation féminine","c8b9caf8-e3aa-4e2e-a046-31244ddff537",0,4
319,"Stérilisation masculine","2b1a0eb4-ceba-43f6-924f-7b530c605081",0,4
320,"Pilule","d4240298-dd35-4f2d-8e7a-0739663cca86",0,4
321,"DIU","bee53729-1be8-4566-b64e-5342b1e31082",0,4
322,"Injectable","daf2ad3e-60a3-455d-ad80-fc4df2746247",0,4
323,"Implants","a099ca7a-82b2-4048-afce-4ad9cad2b1ad",0,4
324,"Condom masculin","f17808e4-bab7-47e6-b778-ccda4e63f861",0,4
325,"Condom féminin","fcf843a7-f583-415d-b005-b63953d10152",0,4
326,"Méthode de l'allaitement maternel et de l'aménorrhée (MAMA)","99457648-46c5-4e0f-bfc5-204d25ec8d12",0,4
327,"Pilule du lendemain","b102d334-a955-4861-861f-2694ead04b79",0,4
328,"Une méthode traditionnelle","b5329707-4416-4bd6-9abf-5081d74af370",0,4
329,"Rythme","29fccd65-cf84-4f17-b430-0c198bb34dea",0,4
330,"Retrait","ef062ebf-7eae-45a2-ba0a-9e34c5cf25d0",0,4
331,"Aucun","e5e89e63-1e27-4f18-bd98-65acae36c5b7",0,4
332,"Primaire incomplet","9a871c8c-bfdc-4edc-b2ca-849fdb00dc79",0,4
333,"Primaire complet","1f26fe23-de81-48dd-b31d-40bc05f27af9",0,4
334,"Secondaire incomplet","0b84057b-9113-4953-bbea-a33f5cc658ac",0,4
335,"Secondaire complet","006761f6-b8d6-499f-ad80-f113dbcae1fc",0,4
336,"Ne sait pas/manquant","e3eecb15-516a-4e44-9e10-fde23cd61caa",0,4
337,"Supérieur","4b68afd1-f406-4e78-b259-d4bcce0d4c48",0,4
338,"Autres services","4945f730-9a70-4942-939e-5a276fe76d8d",0,4
339,"Production bancaire imputée","a1e3e9f0-ab56-47a9-ab50-80924a568bdd",0,4
