TimePeriod_NId,TimePeriod
166,"2002.10"
167,"2002.11"
168,"2002.12"
169,"2003.01"
170,"2003.02"
171,"2003.03"
172,"2003.04"
173,"2004.05"
174,"2003.05"
175,"2003.06"
176,"2003.07"
177,"2003.08"
178,"2003.09"
179,"2003.10"
180,"2003.11"
181,"2003.12"
182,"2004.01"
183,"2004.02"
184,"2005.02"
185,"2004.03"
186,"2004.04"
187,"2004.06"
188,"2004.07"
189,"2004.08"
190,"2004.09"
191,"2004.10"
192,"2004.11"
193,"2004.12"
194,"2005.01"
195,"2005.03"
196,"2005.04"
197,"2005.05"
198,"2005.06"
199,"2005.07"
200,"2005.08"
201,"2005.09"
202,"2005.10"
203,"2005.11"
204,"2005.12"
205,"2006.01"
206,"2006.02"
207,"2006.03"
208,"2006.04"
209,"2006.05"
210,"2006.06"
211,"2006.07"
212,"2006.08"
213,"2006.09"
214,"2006.10"
215,"2006.11"
216,"2006.12"
217,"2007.01"
218,"2007.02"
219,"2007.03"
220,"2007.04"
221,"2007.05"
222,"2007.06"
223,"2007.07"
224,"2007.08"
225,"2007.09"
226,"2007.10"
227,"2007.11"
228,"2007.12"
229,"2008.01"
230,"2008.02"
231,"2008.03"
232,"2008.04"
233,"2008.05"
234,"2008.06"
235,"2008.07"
236,"2008.08"
237,"2008.09"
238,"2008.10"
239,"2008.11"
240,"2008.12"
241,"2009.01"
242,"2009.02"
243,"2009.03"
244,"2009.04"
245,"2009.05"
246,"2009.06"
247,"2009.07"
248,"2009.08"
249,"2009.09"
250,"2009.10"
251,"2009.11"
252,"2009.12"
253,"2010.01"
254,"2010.02"
255,"2010.03"
256,"2010.04"
257,"2010.05"
258,"2010.06"
259,"2010.07"
260,"2010.08"
261,"2010.09"
262,"2010.10"
263,"2010.11"
264,"2010.12"
265,"1960"
266,"1970"
267,"1970-1990"
268,"1980"
269,"1980-1991"
270,"1989"
271,"1990"
272,"1990-1991"
273,"1990-1999"
274,"1990-2004"
275,"1990-2008"
276,"1991"
277,"1991-1992"
278,"1991-2003"
279,"1992"
280,"1993"
281,"1993-2004"
282,"1993-2008"
283,"1994"
284,"1995"
285,"1995-1999"
286,"1995-2001"
287,"1995-2002"
288,"1996"
289,"1996-2002"
290,"1996-2004"
291,"1997"
292,"1997-2000"
293,"1998"
294,"1998-2004"
295,"1999"
296,"1999-2000"
297,"1999-2001"
298,"1999-2002"
299,"2000"
300,"2000-2001"
301,"2000-2003"
302,"2000-2004"
303,"2000-2005"
304,"2001"
305,"2001-2002"
306,"2002"
307,"2002-2003"
308,"2003"
309,"2003-2004"
310,"2004"
311,"2004-2005"
312,"2005"
313,"2006"
314,"2006-2007"
315,"2007"
316,"2007-2008"
317,"2008"
318,"2009"
319,"2010"
320,"2011"
321,"2012"
322,"2013"
323,"2014"
324,"2015"
325,"2016"
326,"2017"
327,"2018"
328,"2019"
329,"2020"
330,"2021"
331,"2022"
332,"2023"
333,"2024"
334,"2025"
335,"1992-2007"
336,"2003-2007"
337,"2003-2008"
338,"2006-2009"
